iter	Logloss
0	0.6765834505
1	0.6610775356
2	0.6442708415
3	0.6313642289
4	0.6160087068
5	0.6070036301
6	0.5987050983
7	0.5920766013
8	0.5848048667
9	0.578260913
10	0.5728061817
11	0.570738924
12	0.5667521661
13	0.563195905
14	0.5603060915
15	0.5589824984
16	0.5555443529
17	0.5518479913
18	0.5493752153
19	0.5453342421
20	0.5426526445
21	0.5395402756
22	0.536729048
23	0.5362699307
24	0.5339875765
25	0.5311719582
26	0.5308583709
27	0.5304658887
28	0.5286877172
29	0.5266700878
30	0.5249778075
31	0.5235805206
32	0.5231806958
33	0.5224888147
34	0.5207549762
35	0.5194749062
36	0.5187425279
37	0.5177879232
38	0.5177148566
39	0.5169628886
40	0.5160227993
41	0.5156746037
42	0.5147369303
43	0.5146959407
44	0.5140568802
45	0.5133766973
46	0.512243724
47	0.5110681028
48	0.5101444952
49	0.5099713799
50	0.5091160024
51	0.5085548379
52	0.5082252848
53	0.5076335669
54	0.5065451074
55	0.5060416808
56	0.5052844677
57	0.5047745032
58	0.504163909
59	0.5033333969
60	0.5021310352
61	0.5015288252
62	0.5008040492
63	0.5000511792
64	0.4995666245
65	0.4988599723
66	0.4979060997
67	0.4972656248
68	0.4967279356
69	0.4956756375
70	0.4955282586
71	0.4947831844
72	0.494223655
73	0.4941875001
74	0.4936208201
75	0.4930314706
76	0.4928546438
77	0.4923537561
78	0.4915467225
79	0.4903853727
80	0.4903816561
81	0.4900273037
82	0.4895339874
83	0.4886788566
84	0.48819849
85	0.4878037521
86	0.4870276813
87	0.4862567029
88	0.485625869
89	0.485248056
90	0.4847068257
91	0.4842078138
92	0.4841182318
93	0.4837945784
94	0.4837945768
95	0.4831434729
96	0.482219089
97	0.4814571414
98	0.4810498748
99	0.4803665264
100	0.4797486466
101	0.4792693309
102	0.4788682449
103	0.4784757283
104	0.4777624103
105	0.477115239
106	0.4766710026
107	0.4757659619
108	0.4752711285
109	0.474803682
110	0.4748036004
111	0.4738732306
112	0.4732695286
113	0.4728780793
114	0.4719228067
115	0.4710501099
116	0.4705885235
117	0.4701748023
118	0.4701429989
119	0.469756389
120	0.4692144322
121	0.4686654206
122	0.4682155309
123	0.4677496083
124	0.4669275516
125	0.4665018924
126	0.4659606748
127	0.4654860052
128	0.464739805
129	0.46445417
130	0.4637908016
131	0.4633002179
132	0.4626978177
133	0.4626811877
134	0.4623163361
135	0.4622646169
136	0.4615957814
137	0.4609647322
138	0.4602355398
139	0.4594735724
140	0.4594663283
141	0.4586143195
142	0.4583637297
143	0.4581486974
144	0.4579129692
145	0.4576394484
146	0.4571477596
147	0.4565109949
148	0.4564617562
149	0.4561265199
150	0.4555816151
151	0.4553033099
152	0.4546509589
153	0.4543358511
154	0.4539605293
155	0.453562322
156	0.4529296544
157	0.4525463268
158	0.4516722376
159	0.4510406298
160	0.4504426182
161	0.4499597569
162	0.4497944881
163	0.4497944823
164	0.449298419
165	0.4488463262
166	0.4483057436
167	0.447936894
168	0.4473696244
169	0.4466929094
170	0.4465160533
171	0.4459778426
172	0.4459776077
173	0.4457848809
174	0.4456423076
175	0.4449131073
176	0.4445609447
177	0.4438226128
178	0.4433296701
179	0.4430066428
180	0.4425934233
181	0.4421633861
182	0.4415142112
183	0.4410609783
184	0.440299305
185	0.439724113
186	0.4391693698
187	0.4388939278
188	0.438506726
189	0.4377075323
190	0.4370580909
191	0.4364970992
192	0.4361622702
193	0.4352111447
194	0.43447589
195	0.4339432175
196	0.4335089364
197	0.4330676661
198	0.4328024133
199	0.4318985026
200	0.4313164043
201	0.4307818257
202	0.4305007788
203	0.4301540908
204	0.4295823083
205	0.4288798991
206	0.4283940145
207	0.427842727
208	0.4274773071
