iter	Passed	Remaining
0	2	3809
1	4	3164
2	5	2857
3	8	3031
4	10	3094
5	12	3140
6	14	3116
7	16	3071
8	17	2913
9	19	2928
10	22	2996
11	24	3012
12	26	2999
13	27	2963
14	29	2954
15	31	2955
16	33	2942
17	35	2929
18	36	2879
19	39	2887
20	41	2893
21	43	2889
22	44	2880
23	46	2874
24	48	2867
25	50	2866
26	51	2834
27	54	2841
28	55	2808
29	57	2806
30	59	2802
31	61	2800
32	62	2798
33	64	2794
34	66	2790
35	68	2796
36	70	2789
37	72	2789
38	74	2786
39	76	2782
40	78	2783
41	80	2781
42	82	2779
43	84	2780
44	86	2782
45	87	2770
46	88	2747
47	90	2734
48	92	2735
49	94	2743
50	96	2747
51	98	2748
52	100	2756
53	102	2753
54	104	2749
55	106	2750
56	108	2747
57	110	2744
58	112	2741
59	114	2738
60	116	2739
61	117	2723
62	118	2713
63	120	2711
64	122	2709
65	124	2708
66	126	2707
67	128	2705
68	130	2703
69	132	2706
70	134	2708
71	136	2707
72	138	2707
73	140	2705
74	142	2703
75	144	2701
76	146	2701
77	148	2699
78	150	2698
79	151	2696
80	153	2695
81	155	2688
82	157	2685
83	159	2685
84	161	2689
85	163	2690
86	165	2685
87	167	2682
88	169	2679
89	170	2677
90	172	2676
91	174	2674
92	176	2674
93	178	2672
94	180	2671
95	182	2670
96	184	2668
97	186	2667
98	188	2664
99	190	2665
100	192	2660
101	194	2664
102	196	2666
103	198	2667
104	200	2669
105	202	2662
106	204	2665
107	206	2662
108	208	2661
109	211	2667
110	213	2670
111	215	2672
112	217	2675
113	220	2677
114	222	2681
115	224	2682
116	227	2684
117	229	2688
118	231	2691
119	234	2693
120	236	2694
121	238	2696
122	240	2691
123	242	2693
124	244	2694
125	247	2696
126	249	2698
127	251	2699
128	254	2701
129	256	2700
130	258	2701
131	260	2702
132	262	2702
133	265	2703
134	267	2703
135	269	2706
136	272	2707
137	274	2710
138	276	2710
139	279	2710
140	281	2710
141	283	2711
142	285	2713
143	288	2715
144	290	2715
145	292	2716
146	295	2716
147	297	2716
148	299	2716
149	302	2718
150	304	2718
151	306	2718
152	308	2717
153	311	2718
154	313	2718
155	315	2718
156	317	2717
157	320	2718
158	321	2712
159	323	2712
160	326	2711
161	328	2711
162	330	2712
163	332	2712
164	335	2711
165	337	2711
166	339	2711
167	341	2710
168	344	2710
169	346	2709
170	348	2710
171	350	2709
172	353	2709
173	355	2708
174	357	2708
175	360	2708
176	362	2708
177	364	2707
178	366	2707
179	369	2706
180	371	2706
181	373	2705
182	376	2706
183	378	2706
184	380	2706
185	383	2706
186	385	2707
187	387	2706
188	390	2709
189	392	2708
190	395	2708
191	397	2707
192	399	2706
193	401	2705
194	404	2704
195	406	2703
196	408	2702
197	410	2701
198	413	2700
199	415	2699
200	417	2697
201	419	2697
202	422	2697
203	424	2696
204	426	2694
205	428	2693
206	431	2692
207	433	2691
208	435	2692
209	438	2691
210	440	2691
211	443	2691
212	445	2691
213	447	2691
214	450	2690
215	452	2689
216	454	2688
217	457	2688
218	459	2687
219	461	2686
220	463	2684
221	466	2683
222	468	2682
223	470	2681
224	473	2681
225	475	2678
226	477	2676
227	479	2673
228	481	2670
229	483	2667
230	485	2664
231	487	2662
232	489	2659
233	490	2656
234	492	2653
235	494	2650
236	496	2646
237	498	2644
238	500	2641
239	502	2638
240	504	2635
241	506	2632
242	508	2629
243	510	2626
244	512	2622
245	513	2619
246	515	2616
247	517	2614
248	519	2611
249	521	2608
250	523	2605
251	525	2602
252	527	2599
253	529	2596
254	531	2593
255	533	2591
256	535	2590
257	537	2588
258	539	2585
259	541	2582
260	543	2579
261	545	2576
262	547	2573
263	549	2570
264	550	2567
265	552	2563
266	554	2561
267	556	2558
268	558	2554
269	560	2551
270	562	2550
271	564	2547
272	566	2545
273	568	2542
274	570	2539
275	572	2536
276	574	2534
277	575	2531
278	577	2529
279	579	2526
280	581	2524
281	583	2521
282	585	2518
283	587	2515
284	589	2512
285	591	2511
286	593	2508
287	595	2505
288	597	2503
289	599	2500
290	601	2498
291	603	2495
292	605	2492
293	607	2491
294	609	2488
295	611	2486
296	613	2483
297	615	2481
298	617	2479
299	619	2476
300	621	2475
301	623	2474
302	626	2473
303	628	2472
304	630	2471
305	632	2469
306	635	2468
307	638	2469
308	640	2468
309	642	2468
310	645	2467
311	647	2466
312	649	2464
313	652	2463
314	654	2461
315	656	2460
316	658	2459
317	661	2457
318	663	2456
319	665	2455
320	668	2453
321	670	2452
322	672	2451
323	674	2449
324	677	2448
325	679	2447
326	681	2446
327	684	2444
328	686	2443
329	688	2441
330	690	2440
331	693	2438
332	695	2437
333	697	2435
334	699	2433
335	702	2432
336	704	2431
337	706	2429
338	708	2427
339	711	2425
340	713	2424
341	715	2422
342	717	2420
343	719	2418
344	722	2417
345	724	2415
346	726	2414
347	728	2412
348	730	2410
349	733	2409
350	735	2407
351	737	2405
352	739	2404
353	742	2402
354	744	2400
355	746	2398
356	748	2397
357	751	2395
358	753	2394
359	755	2392
360	757	2390
361	759	2388
362	762	2386
363	764	2385
364	766	2384
365	768	2381
366	770	2379
367	772	2376
368	774	2373
369	776	2371
370	778	2368
371	780	2367
372	783	2365
373	785	2365
374	787	2363
375	790	2362
376	792	2360
377	794	2358
378	796	2357
379	799	2355
380	801	2353
381	803	2352
382	806	2350
383	808	2348
384	810	2347
385	812	2345
386	815	2344
387	817	2342
388	819	2340
389	821	2338
390	823	2336
391	826	2335
392	828	2334
393	830	2332
394	833	2330
395	835	2329
396	837	2327
397	839	2325
398	842	2324
399	844	2322
400	846	2320
401	849	2319
402	851	2318
403	854	2316
404	856	2315
405	859	2314
406	861	2313
407	863	2312
408	866	2310
409	868	2308
410	870	2307
411	873	2305
412	875	2305
413	878	2304
414	880	2302
415	882	2300
416	885	2298
417	887	2297
418	890	2296
419	892	2294
420	894	2293
421	897	2291
422	899	2289
423	901	2287
424	903	2286
425	906	2284
426	908	2283
427	910	2281
428	913	2279
429	915	2277
430	917	2275
431	919	2274
432	922	2272
433	924	2270
434	926	2268
435	928	2266
436	931	2264
437	933	2263
438	935	2261
439	938	2259
440	940	2258
441	942	2256
442	944	2254
443	947	2252
444	949	2250
445	951	2248
446	953	2246
447	956	2245
448	958	2243
449	960	2241
450	962	2239
451	964	2237
452	967	2235
453	969	2233
454	971	2232
455	974	2229
456	976	2228
457	978	2226
458	980	2224
459	983	2222
460	985	2220
461	987	2218
462	989	2216
463	991	2214
464	994	2212
465	996	2210
466	998	2209
467	1001	2207
468	1003	2205
469	1005	2203
470	1007	2201
471	1009	2199
472	1012	2197
473	1014	2195
474	1016	2194
475	1018	2192
476	1021	2190
477	1023	2188
478	1025	2186
479	1027	2184
480	1030	2182
481	1032	2180
482	1034	2178
483	1036	2176
484	1039	2174
485	1041	2172
486	1043	2170
487	1046	2169
488	1048	2167
489	1050	2165
490	1052	2163
491	1054	2161
492	1057	2159
493	1059	2157
494	1061	2155
495	1064	2154
496	1066	2152
497	1068	2150
